StateCode,State,2021
AL,Alabama,68215.71
AK,Alaska,16939.11
AZ,Arizona,38392.4
AR,Arkansas,36628.79
CA,California,91754.57
CO,Colorado,50334.5
CT,Connecticut,10812.61
DE,Delaware,5142.43
FL,Florida,102634.27
GA,Georgia,48611.01
HI,Hawaii,6674.0
ID,Idaho,4517.01
IL,Illinois,79693.91
IN,Indiana,100804.81
IA,Iowa,45162.63
KS,Kansas,32461.76
KY,Kentucky,64178.47
LA,Louisiana,116792.45
ME,Maine,2910.16
MD,Maryland,17015.85
MA,Massachusetts,8637.53
MI,Michigan,66347.75
MN,Minnesota,35987.01
MS,Mississippi,29458.75
MO,Missouri,70588.15
MT,Montana,15890.74
NE,Nebraska,24174.38
NV,Nevada,14058.51
NH,New Hampshire,2329.56
NJ,New Jersey,18687.48
NM,New Mexico,24897.24
NY,New York,33983.92
NC,North Carolina,39118.92
ND,North Dakota,38679.39
OH,Ohio,96132.32
OK,Oklahoma,52312.15
OR,Oregon,11214.4
PA,Pennsylvania,101933.29
RI,Rhode Island,3621.41
SC,South Carolina,32699.95
SD,South Dakota,5346.41
TN,Tennessee,32511.08
TX,Texas,382860.2
UT,Utah,36065.74
VT,Vermont,130.63
VA,Virginia,32731.14
WA,Washington,19942.32
WV,West Virginia,64439.68
WI,Wisconsin,42563.81
WY,Wyoming,50790.07
DC,District of Columbia,88.59
PR,Puerto Rico,1479.75
